image_id,file_name,dice
82,cju5vutu7ll8w0871dfp92n9p.jpg,0.6882568633552979
83,cju8bljw9rqk20801kr54akrl.jpg,0.9552668743975431
84,cju2z1nxlzaj40835wj81s1iy.jpg,0.9661726206427408
85,cju84kplnl1y30755ropua1b0.jpg,0.31652973699168085
86,cju42dwedlmk60871jbgu4ehi.jpg,0.9705596107055962
87,cju7ezs7g2mxm098787atbran.jpg,0.9565299864057412
88,cju7apr0c1qqm0755s7msqot4.jpg,0.9469991135305208
89,cju8ceacrsqkr0755hdz145es.jpg,0.952461951656222
90,cju17v6ih0u7808783zcbg1jy.jpg,0.9826358990779243
91,cju2zdhsczmn50988z64qwg2q.jpg,0.8532389537679891
92,cju2mfjndoz700988b9lc3zeq.jpg,0.9659736821614887
93,cju2y0z6g87p10878fpk5d3rq.jpg,0.9765785725589492
94,cju3v56bwgy8v0871w14pz8fx.jpg,0.6398155978068142
95,cju5xopi0md7q0871r1sjc1av.jpg,0.9424610366074665
96,cju1gv7106qd008784gk603mg.jpg,0.9548377846960511
97,cju893jmdompz0817xn3g1w4h.jpg,0.9536039078184123
98,cju6wll7wvo3y08502pagos8m.jpg,0.9619534629424156
99,ck2da7fwcjfis07218r1rvm95.jpg,0.9519142029723451
100,cju8abobpqbir08189u01huru.jpg,0.9802790193688202
